1st Ban,enemy's 1st Ban,2nd Ban,enemy's 2nd Ban,1st Pick,enemy's 1st Pick,2ndPick,enemy's 2nd Pick,3rd Ban,enemy's 3rd Ban,4th Ban,enemy's 4th Ban,5th Ban,enemy's 5th Ban,3rd Pick,enemy's 3rd Pick,4th Pick,enemy's 4th Pick,6th Ban,enemy's 6th Ban,7th Ban,enemy's 7th Ban,5th Pick,enemy's 5th Pick,Result
1,7,34,8,41,44,28,70,40,22,38,45,26,76,42,46,66,83,29,77,24,115,16,39,Lost
2,8,40,7,1,34,66,38,3,89,26,22,67,90,29,44,35,69,115,45,46,83,15,110,Lost
3,27,19,2,8,29,49,28,42,41,13,69,12,65,102,78,82,22,90,10,53,77,4,46,Won
4,8,41,1,43,10,55,7,40,46,42,70,15,91,103,66,28,24,35,53,92,26,34,83,Lost
4,8,10,1,43,41,3,40,69,29,7,46,70,67,84,27,49,28,83,102,88,26,15,35,Lost
1,2,3,8,40,28,67,4,63,61,13,64,68,42,54,41,39,34,55,94,9,92,19,6,Won
4,2,42,8,43,1,68,3,45,70,76,69,55,84,29,5,83,35,12,28,80,7,51,26,Lost
4,28,42,1,8,3,2,5,68,69,43,41,22,40,29,45,67,24,13,44,83,57,79,34,Won
3,29,19,49,8,39,43,70,13,28,32,93,12,46,42,27,95,45,66,77,34,41,71,83,Lost
3,2,28,8,43,1,69,50,13,40,83,49,66,85,39,42,103,68,16,67,45,77,46,41,Lost
3,2,43,8,27,1,7,28,66,40,83,22,46,10,64,42,38,49,90,101,71,18,36,9,Lost
3,7,8,2,1,50,49,13,47,83,85,28,39,77,29,63,69,43,35,18,79,41,53,81,Won
1,7,3,2,8,5,43,49,13,50,45,28,85,69,41,58,29,70,77,51,90,100,95,74,Won
1,7,5,2,53,3,70,8,45,90,77,49,13,74,102,29,9,43,47,17,4,20,83,15,Lost
2,22,5,6,19,39,7,49,17,10,90,66,70,42,16,1,46,15,13,77,115,92,74,83,Won
2,22,5,19,54,1,7,75,17,67,90,42,6,66,39,29,49,79,116,83,43,18,77,13,Won
5,1,3,2,6,4,7,8,70,66,91,10,69,53,54,49,42,11,62,83,63,16,92,41,Won
5,1,3,2,6,4,53,8,51,7,22,82,17,66,49,41,70,93,83,92,34,16,94,77,Won
4,1,41,8,10,42,19,7,76,70,92,91,13,3,6,43,66,90,49,83,74,51,17,81,Won
4,1,41,8,10,42,7,34,70,6,91,13,15,39,16,76,66,67,84,29,53,20,115,21,Won
5,1,8,2,6,4,66,7,24,54,22,19,13,70,27,61,37,76,117,88,83,35,20,74,Won
5,1,8,7,6,4,2,3,22,19,76,32,13,27,54,62,89,45,68,41,71,11,53,49,Won
4,1,5,7,10,8,3,41,53,29,69,22,44,6,55,63,102,65,111,90,16,77,92,85,Won
5,1,6,8,10,25,7,66,70,15,90,22,91,101,39,54,13,50,53,35,45,92,20,44,Won
6,1,5,24,8,15,16,21,3,25,34,22,70,29,102,12,49,32,93,82,33,117,19,28,Won
5,1,12,8,55,10,7,34,6,66,70,76,11,4,35,107,19,90,50,92,28,41,16,91,Won
5,1,12,8,55,10,7,34,70,66,11,76,6,49,35,25,4,9,82,90,116,36,92,101,Won
3,1,4,10,8,29,50,76,82,77,13,89,63,40,102,23,22,26,65,74,7,34,41,53,Won
3,1,4,8,10,25,7,46,70,36,91,45,90,13,6,21,66,16,69,20,9,41,63,92,Won
9,1,7,8,56,5,25,3,77,2,88,19,6,95,40,4,67,49,83,74,92,28,90,53,Lost
8,5,1,6,24,15,16,25,67,66,20,27,22,4,23,57,19,50,81,115,76,96,2,3,Won
8,5,1,6,24,15,28,21,3,18,20,45,69,27,4,64,66,65,25,34,19,101,115,112,Won
8,5,15,6,30,1,3,62,22,55,19,18,20,61,81,108,76,50,77,16,34,45,74,53,Won
8,15,1,5,25,10,55,37,22,70,77,66,16,18,34,109,27,20,14,45,13,96,65,29,Won
10,15,8,1,5,62,49,77,28,3,93,45,70,30,63,67,92,55,22,7,81,2,19,76,Won
10,15,1,30,57,5,28,8,3,67,94,45,20,18,29,77,34,69,21,81,4,27,74,22,Lost
11,15,4,50,5,1,30,75,83,3,22,13,34,28,49,29,67,16,12,20,71,9,2,76,Won
12,1,5,20,6,15,28,19,11,14,82,13,3,4,27,84,66,113,83,46,34,36,88,16,Won
1,15,8,12,25,44,66,55,3,4,16,10,50,30,27,110,28,77,19,60,38,11,29,21,Won
12,30,1,29,15,44,51,14,50,4,95,18,65,76,47,56,66,110,3,45,28,114,25,7,Won
5,3,15,51,1,12,50,29,84,14,13,31,82,22,25,23,40,7,35,114,74,17,19,6,Won
5,31,12,51,1,15,3,71,85,77,7,43,23,13,29,10,76,82,74,90,21,36,11,111,Won
5,12,15,6,58,1,16,8,50,18,51,76,96,32,25,56,112,3,14,95,31,65,7,36,Won
5,1,15,12,59,4,19,32,8,82,56,18,16,76,61,55,81,70,83,45,13,36,31,35,Won
13,12,14,1,5,15,6,51,85,8,4,50,76,3,40,43,17,71,19,92,114,16,10,18,Won
5,1,12,13,15,14,51,6,50,44,8,4,95,60,47,21,76,92,3,26,100,45,16,108,Won
5,32,12,13,6,15,51,14,3,44,2,60,8,68,33,85,76,7,35,45,101,16,53,92,Won
14,32,5,13,12,29,15,42,2,51,40,4,70,91,10,67,31,49,48,3,92,74,101,114,Won
15,32,12,13,24,29,51,5,8,14,40,74,97,19,43,79,60,2,93,36,7,26,45,50,Lost
13,2,22,17,34,52,60,16,1,74,19,67,21,36,27,23,100,76,86,18,-1,-1,15,45,Won
13,2,22,17,33,5,34,25,19,37,1,74,98,67,18,35,66,26,16,80,-1,-1,7,100,Won
5,2,19,34,60,16,71,21,13,17,22,74,94,36,39,1,37,48,45,86,-1,-1,67,75,Won
5,33,16,34,13,59,24,18,10,27,44,4,96,31,60,85,74,2,57,65,-1,-1,114,71,Won
16,34,5,33,39,52,71,6,10,13,44,60,66,100,27,18,67,48,17,74,-1,-1,19,46,Won
5,19,18,17,39,29,2,16,13,34,71,31,22,27,60,78,67,28,30,57,-1,-1,80,115,Won
5,19,18,17,34,63,33,78,13,2,29,16,71,22,74,49,31,26,91,83,-1,-1,53,82,Won
17,34,22,33,13,59,24,18,10,39,4,19,44,2,60,21,74,28,71,67,-1,-1,96,16,Won
17,34,22,33,19,4,39,6,37,71,59,13,36,67,2,27,12,114,66,74,-1,-1,15,10,Won
5,4,16,34,19,10,39,13,17,33,44,71,2,57,60,81,67,66,31,83,-1,-1,74,30,Lost
5,4,21,34,19,44,22,26,16,33,63,36,74,67,29,59,100,71,114,18,-1,-1,10,17,Lost
18,17,39,2,38,63,24,79,35,4,16,61,74,20,104,27,13,26,91,114,-1,-1,19,93,Won
5,2,16,18,4,39,6,23,44,22,26,35,74,17,38,19,20,13,91,96,-1,-1,48,104,Won
5,2,44,18,4,35,22,23,26,39,21,16,74,17,72,29,57,13,91,88,-1,-1,67,65,Won
5,17,22,18,39,64,2,33,47,16,1,4,36,38,60,63,67,45,65,49,-1,-1,19,70,Won
5,18,45,17,39,47,27,22,61,4,36,16,21,74,84,1,88,96,77,65,-1,-1,66,13,Lost
5,2,13,17,16,63,72,26,44,29,39,18,67,22,27,6,36,70,99,33,-1,-1,19,60,Won
5,2,18,23,4,29,39,13,71,17,44,16,37,96,57,42,19,67,83,26,-1,-1,115,74,Won
5,17,21,2,23,18,16,63,47,4,39,35,66,33,22,27,38,74,83,20,-1,-1,69,104,Lost
5,17,23,2,4,35,47,21,61,29,39,18,94,22,49,19,65,16,99,36,-1,-1,26,67,Lost
5,17,23,46,2,35,4,78,18,47,61,29,84,39,105,64,57,26,37,88,-1,-1,67,94,Won
5,18,23,17,47,1,2,33,27,4,22,16,46,38,29,81,66,75,36,90,-1,-1,49,106,Won
5,17,4,2,33,1,39,59,18,88,16,29,92,46,38,89,22,15,81,20,-1,-1,70,37,Won
5,35,23,18,4,29,2,27,59,17,36,16,37,66,39,26,61,71,9,38,-1,-1,22,65,Won
5,36,23,18,47,35,2,29,16,20,4,27,26,57,72,59,49,94,53,110,-1,-1,65,92,Won
5,36,23,33,16,52,47,80,18,4,27,17,29,38,106,39,71,46,66,98,-1,-1,67,51,Won
5,36,16,4,33,27,35,26,63,29,46,18,47,30,39,6,38,17,23,66,-1,-1,114,19,Won
5,27,4,20,18,39,68,17,47,35,21,48,46,72,52,85,65,36,99,29,-1,-1,38,92,Won
5,29,22,18,16,35,72,17,4,36,94,46,21,49,59,10,68,38,39,114,-1,-1,48,47,Won
5,4,46,27,35,18,29,47,23,2,59,26,20,92,10,24,71,66,57,67,-1,-1,70,48,Lost
5,27,26,4,35,59,21,18,34,2,47,48,29,13,78,23,20,46,65,92,-1,-1,77,75,Lost
19,4,24,52,34,22,33,38,1,74,21,39,66,36,71,111,17,15,113,83,-1,-1,13,20,Won
20,19,5,17,61,4,73,59,44,2,22,37,36,46,16,10,13,7,45,67,-1,-1,114,18,Won
5,22,20,19,4,37,71,47,44,2,23,17,92,67,6,39,31,13,48,28,-1,-1,57,83,Won
1,17,16,2,4,22,74,61,86,37,18,19,45,29,34,13,91,58,70,13,-1,-1,10,51,Lost
1,37,47,17,4,16,36,52,22,2,74,19,13,20,6,23,67,18,92,80,-1,-1,57,86,Lost
4,37,19,52,33,27,39,22,17,13,21,74,99,67,65,29,46,77,100,114,-1,-1,83,66,Won
21,19,27,37,34,17,52,23,59,22,10,4,57,48,68,61,2,39,100,74,-1,-1,20,18,Won
22,38,24,29,52,59,34,23,17,2,4,19,13,100,37,74,56,28,71,45,-1,-1,10,18,Won
23,29,48,4,19,10,34,16,24,17,47,22,37,20,2,74,67,5,66,44,-1,-1,71,83,Won
24,39,1,4,19,37,6,71,21,17,5,36,10,74,33,13,100,29,77,22,-1,-1,83,34,Won
24,39,1,36,61,4,73,22,19,38,21,13,17,18,37,53,74,70,71,45,-1,-1,31,20,Won
24,29,1,39,19,65,34,10,5,4,21,22,52,18,37,71,13,56,96,86,-1,-1,36,44,Won
1,29,5,17,34,25,38,16,19,39,24,4,22,67,2,52,13,65,71,18,-1,-1,36,64,Won
25,29,1,4,37,19,59,24,5,39,22,17,13,74,35,52,100,65,16,38,-1,-1,18,81,Lost
