,1st Ban,2nd Ban,1st Pick,2nd Pick,3rd Ban,4th Ban,5th Ban,3rd Pick,4th Pick,6th Ban,7th Ban,5th Pick
1,Drow Ranger,Magnus,Oracle,Spectre,Beastmaster,Viper,Underlord,Timbersaw,Storm Spirit,Invoker,Outworld Devourer,Earthshaker
2,Magnus,Drow Ranger,Void Spirit,Enigma,Silencer,Beastmaster,Zeus,Oracle,Phantom Assassin,Viper,Storm Spirit,Huskar
3,Chen,Lone Druid,Rubick,Lifestealer,Lina,Phantom Assassin,Troll Warlord,Jakiro,Beastmaster,Vengeful Spirit,Invoker,Timbersaw
4,Magnus,Io,Vengeful Spirit,Drow Ranger,Timbersaw,Spectre,Phantom Lancer,Bloodseeker,Earth Spirit,Pugna,Death Prophet,Storm Spirit
5,Magnus,Io,Lina,Slardar,Rubick,Timbersaw,Morphling,Chen,Lifestealer,Skywrath Mage,Death Prophet,Dragon Knight
6,Lone Druid,Magnus,Lifestealer,Enchantress,Mirana,Tusk,Undying,Lina,Void Spirit,Riki,Templar Assasin,Clockwerk
7,Lone Druid,Magnus,Io,Faceless Void,Spectre,Phantom Assassin,Winter Wyvern,Phoenix,Dragon Knight,Lifestealer,Drow Ranger,Death Prophet
8,Lifestealer,Io,Faceless Void,Phoenix,Phantom Assassin,Lina,Slardar,Viper,Earth Spirit,Oracle,Abaddon,Void Spirit
9,Rubick,Mars,Earthshaker,Spectre,Lifestealer,Juggernaut,Timbersaw,Chen,Viper,Invoker,Lina,Storm Spirit
10,Lone Druid,Magnus,Io,Sven,Slardar,Mars,Disruptor,Undying,Tidehunter,Morphling,Invoker,Lina
11,Lone Druid,Magnus,Io,Lifestealer,Slardar,Beastmaster,Vengeful Spirit,Undying,Mars,Shadow Fiend,Queen of Pain,Chaos Knight
12,Drow Ranger,Lone Druid,Sven,Batrider,Storm Spirit,Lifestealer,Invoker,Shadow Demon,Snapfire,Queen of Pain,Lina,Sand King
13,Drow Ranger,Lone Druid,Phoenix,Mars,Sven,Lifestealer,Phantom Assassin,Warlock,Spectre,Anti-Mage,Ursa,Kunkka
14,Drow Ranger,Lone Druid,Faceless Void,Magnus,Zeus,Mars,Kunkka,Rubick,Snapfire,Lycan,Monkey King,Tiny
15,Beastmaster,Clockwerk,Earthshaker,Mars,Vengeful Spirit,Bloodseeker,Undying,Io,Tiny,Invoker,Templar Assasin,Storm Spirit
16,Beastmaster,Nature's Prophet,Io,Gyrocopter,Morphling,Undying,Bloodseeker,Rubick,Centaur Warrunner,Storm Spirit,Queen of Pain,Batrider
17,Io,Lone Druid,Enchantress,Magnus,Bloodseeker,Vengeful Spirit,Pugna,Mars,Arc Warden,Storm Spirit,Ember Spirit,Lina
18,Io,Lone Druid,Enchantress,Magnus,Drow Ranger,Terrorblade,Bloodseeker,Lina,Juggernaut,Templar Assasin,Ember Spirit,Invoker
19,Io,Magnus,Undying,Drow Ranger,Spectre,Phantom Lancer,Faceless Void,Snapfire,Zeus,Storm Spirit,Anti-Mage,Sand King
20,Io,Magnus,Undying,Void Spirit,Clockwerk,Batrider,Earthshaker,Underlord,Morphling,Rubick,Monkey King,Grimstroke
21,Io,Lone Druid,Enchantress,Drow Ranger,Crystal Maiden,Nature's Prophet,Spectre,Mirana,Underlord,Leshrac,Dragon Knight,Kunkka
22,Io,Drow Ranger,Enchantress,Faceless Void,Nature's Prophet,Venomancer,Chen,Dark Willow,Viper,Lina,Arc Warden,Mars
23,Io,Drow Ranger,Magnus,Lina,Rubick,Beastmaster,Clockwerk,Shadow Demon,Troll Warlord,Zeus,Invoker,Disruptor
24,Io,Magnus,Windranger,Bloodseeker,Tiny,Beastmaster,Shadow Fiend,Crystal Maiden,Sven,Dragon Knight,Templar Assasin,Oracle
25,Io,Earth Spirit,Tiny,Grimstroke,Windranger,Beastmaster,Rubick,Doom,Venomancer,Terrorblade,Medusa,Lifestealer
26,Io,Magnus,Vengeful Spirit,Void Spirit,Bloodseeker,Underlord,Enchantress,Yiny,Zeus,Templar Assasin,Lina,Phantom Lancer
27,Io,Magnus,Vengeful Spirit,Void Spirit,Bloodseeker,Underlord,Mars,Windranger,Chaos Knight,Zeus,Necrophos,Shadow Fiend
28,Io,Vengeful Spirit,Rubick,Underlord,Invoker,Silencer,Slardar,Bane,Death Prophet,Kunkka,Void Spirit,Pugna
29,Io,Magnus,Windranger,Timbersaw,Necrophos,Viper,Batrider,Grimstroke,Ember Spirit,Monkey King,Lina,Templar Assasin
30,Io,Magnus,Phoenix,Faceless Void,Lone Druid,Nature's Prophet,Alchemist,Enchantress,Mars,Kunkka,Lifestealer,Pugna
31,Phoenix,Clockwerk,Tiny,Windranger,Bloodseeker,Chen,Enchantress,Abaddon,Sven,Outworld Devourer,Slark,Faceless Void
32,Phoenix,Clockwerk,Tiny,Grimstroke,Queen of Pain,Viper,Chen,Tusk,Troll Warlord,Void Spirit,Shadow Fiend,Omniknight
33,Phoenix,Clockwerk,Io,Dark Willow,Elder Titan,Queen of Pain,Mirana,Night Stalker,Sven,Ember Spirit,Viper,Pugna
34,Tiny,Phoenix,Vengeful Spirit,Luna,Spectre,Bloodseeker,Queen of Pain,Nyx Assassin,Monkey King,Viper,Slark,Rubick
35,Tiny,Io,Dark Willow,Invoker,Faceless Void,Viper,Ancient Apparition,Morphling,Elder Titan,Drow Ranger,Lone Druid,Underlord
36,Tiny,Ancient Apparition,Phoenix,Magnus,Morphling,Viper,Queen of Pain,Invoker,Phantom Assassin,Sand King,Chen,Beastmaster
37,Tiny,Sven,Io,Gyrocopter,Faceless Void,Batrider,Lifestealer,Rubick,Ember Spirit,Monkey King,Chaos Knight,Underlord
38,Io,Monkey King,Tiny,Nature's Prophet,Dark Seer,Batrider,Enchantress,Winter Wyvern,Naga Siren,Timbersaw,Necrophos,Ember Spirit
39,Tiny,Doom,Oracle,Elder Titan,Enchantress,Vengeful Spirit,Ancient Apparition,Huskar,Invoker,Puck,Arc Warden,Grimstroke
40,Ancient Apparition,Rubick,Oracle,Dark Seer,Enchantress,Queen of Pain,Underlord,Spirit Breaker,Huskar,Viper,Bloodmother,Drow Ranger
41,Faceless Void,Anti-Mage,Doom,Rubick,Dark Seer,Visage,Beastmaster,Bane,Drow Ranger,Bloodmother,Lycan,Clockwerk
42,Visage,Anti-Mage,Tiny,Pangolier,Invoker,Snapfire,Batrider,Vengeful Spirit,Terrorblade,Zeus,Necrophos,Shadow Shaman
43,Doom,Clockwerk,Io,Magnus,Queen of Pain,Underlord,Venomancer,Spirit Breaker,Faceless Void,Alchemist,Troll Warlord,Necrophos
44,Io,Doom,Enchantress,Venomancer,Terrorblade,Queen of Pain,Underlord,Elder Titan,Spectre,Viper,Necrophos,Dragon Knight
45,Doom,Io,Tiny,Anti-Mage,Magnus,Sven,Faceless Void,Snapfire,Pangolier,Templar Assasin,Ember Spirit,Queen of Pain
46,Io,Batrider,Dark Seer,Clockwerk,Oracle,Enchantress,Puck,Grimstroke,Templar Assasin,Death Prophet,Viper,Night Stalker
47,Venomancer,Batrider,Tiny,Dark Seer,Oracle,Puck,Tidehunter,Disruptor,Drow Ranger,Viper,Ember Spirit,Templar Assasin
48,Venomancer,Batrider,Rubick,Undying,Anti-Mage,Enchantress,Phantom Lancer,Morphling,Mars,Faceless Void,Kunkka,Bloodmother
